tour,year,season,event_completed,event_name,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Hoge, Tom",15575,T3,3,TPC Sawgrass,11,72,10,12:09 PM,62,2.434,0.145,3.994,1.001,5.139,7.573,278.8,0.786,0.889,1,50.571,21.302,6,2
pga,2020,2021,9/20/20,U.S. Open,"Kang, Sung",7881,CUT,2,Winged Foot GC,891,70,10,12:32 PM,86,-2.426,-0.138,-5.313,-2.871,-8.322,-10.748,269.5,0.5,0.167,0.333,101.289,48.487,1,15
pga,2020,2020,3/15/20,THE PLAYERS Championship,"Matsuyama, Hideki",13562,1,1,TPC Sawgrass,11,72,10,8:24 AM,63,4.276,0.345,2.228,1.455,4.029,8.301,,,,,,,,
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Johnson, Dustin",12422,T9,4,TPC Sawgrass,11,72,10,12:17 PM,63,4.674,-0.957,3.02,1.82,3.883,8.571,295.5,0.714,0.833,0.667,42.105,21.992,7,1
pga,2024,2024,5/19/24,PGA Championship,"Schauffele, Xander",19895,1,1,Valhalla Golf Club,671,71,10,8:03 AM,62,4.16,1.307,2.282,1.527,5.116,9.276,299.6,0.857,0.778,0.857,52.667,32.53,7,0
pga,2024,2024,5/19/24,PGA Championship,"Lowry, Shane",13900,T6,3,Valhalla Golf Club,671,71,1,12:01 PM,62,5.562,-0.174,1.637,0.526,1.989,7.551,290.1,0.714,0.778,0.8,36.944,25.512,7,1
pga,2017,2017,7/23/17,The Open Championship,"Grace, Branden",11952,T6,3,Royal Birkdale GC,541,70,1,11:25 AM,62,,,,,,7.026,,,,,,,,
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Thomas, Justin",14139,1,3,TPC Sawgrass,11,72,1,11:25 AM,64,1.535,1.333,2.428,1.789,5.55,7.085,296.6,0.714,0.778,0.714,37.522,26.681,7,2
pga,2022,2022,4/10/22,Masters Tournament,"McIlroy, Rory",10091,2,4,Augusta National Golf Club,14,72,1,1:50 PM,64,1.024,5.716,0.187,1.476,7.379,8.404,313.4,0.571,0.611,0.9,58.146,29.998,10,2
pga,2022,2022,7/17/22,The Open Championship,"Smith, Cameron",15856,1,2,St. Andrews Links (Old Course),668,72,1,1:04 PM,64,6.195,0.529,0.935,0.065,1.529,7.724,284.4,0.75,0.889,0.667,60.48,36.038,9,1
pga,2022,2022,7/17/22,The Open Championship,"Smith, Cameron",15856,1,4,St. Andrews Links (Old Course),668,72,1,2:40 PM,64,2.912,0.945,0.874,0.944,2.763,5.675,304.8,0.75,0.944,1,38.514,31.862,3,1
pga,2022,2022,7/17/22,The Open Championship,"Young, Cameron",26651,2,1,St. Andrews Links (Old Course),668,72,1,8:25 AM,64,1.858,2.213,3.818,0.81,6.841,8.699,323.1,0.5,1,1,42.925,24.445,7,3
pga,2022,2022,7/17/22,The Open Championship,"Burns, Sam",19483,T42,4,St. Andrews Links (Old Course),668,72,1,7:50 AM,64,3.988,-1.069,1.991,0.765,1.687,5.675,315.9,0.562,0.944,0.6,8.864,28.478,8,3
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Ramey, Chad",19840,T27,1,TPC Sawgrass,11,72,1,8:07 AM,64,5.78,1.496,0.747,0.735,2.977,8.757,278.8,0.714,0.778,1,70.09,39.819,5,1
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Im, Sungjae",17488,T6,3,TPC Sawgrass,11,72,10,10:52 AM,64,2.636,1.872,0.063,1.003,2.937,5.573,279.3,0.643,0.778,1,42.255,28.583,6,1
pga,2020,2021,9/20/20,U.S. Open,"Sigg, Greyson",23482,CUT,2,Winged Foot GC,891,70,1,12:10 PM,85,-4.956,-0.937,-2.876,-0.979,-4.792,-9.748,274.7,0.429,0.278,0.2,102.607,41.37,3,11
pga,2020,2021,9/20/20,U.S. Open,"Rousaud, Eduard",27722,CUT,2,Winged Foot GC,891,70,10,7:01 AM,85,-3.647,-4.301,-2.321,0.521,-6.101,-9.748,291.1,0.286,0.444,0.286,103.404,34.407,3,9
pga,2023,2023,7/23/23,The Open Championship,"Rahm, Jon",19195,T2,3,Royal Liverpool,724,71,1,11:25 AM,63,3.616,0.847,1.448,1.523,3.818,7.434,309.9,0.5,0.778,1,26.667,25.042,7,1
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Murray, Grayson",14655,T42,4,TPC Sawgrass,11,72,1,7:40 AM,64,2.042,0.722,4.267,0.065,5.054,7.096,292.7,0.643,0.778,0.5,10.099,25.061,8,2
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Kim, Si Woo",14609,T6,4,TPC Sawgrass,11,72,1,11:35 AM,64,2.457,1.995,1.925,0.719,4.639,7.096,284.3,0.714,0.778,0.857,30.903,26.473,5,0
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Scheffler, Scottie",18417,1,4,TPC Sawgrass,11,72,1,1:10 PM,64,0.63,0.905,2.985,2.576,6.466,7.096,297,0.857,0.778,0.875,56.957,27.681,5,1
pga,2024,2024,3/17/24,THE PLAYERS Championship,"Harman, Brian",8825,T2,3,TPC Sawgrass,11,72,1,1:50 PM,64,3.858,-0.212,3.386,-0.745,2.429,6.288,295.2,0.643,0.889,0.75,31.833,22.2,5,3
pga,2017,2017,4/9/17,Masters Tournament,"Hoffman, Charley",5768,T22,1,Augusta National Golf Club,14,72,1,1:08 PM,65,,,,,,9.978,,,,,,,,
pga,2020,2021,9/20/20,U.S. Open,"Fox, Ryan",11889,CUT,2,Winged Foot GC,891,70,10,12:10 PM,85,-5.135,-1.066,-2.974,-0.573,-4.613,-9.748,286.7,0.214,0.333,0.357,74.631,46.976,2,12
pga,2020,2021,9/20/20,U.S. Open,"Hend, Scott",1888,CUT,2,Winged Foot GC,891,70,1,2:11 PM,84,-5.751,-3.292,0.483,-0.188,-2.997,-8.748,292,0.429,0.444,0.25,52.622,41.021,4,12
pga,2022,2022,6/19/22,U.S. Open,"Greene, Keith",24967,CUT,1,The Country Club,654,70,1,8:57 AM,83,-1.42,-3.43,-3.23,-2.16,-8.81,-10.231,269.1,0.429,,,,,,
pga,2022,2022,6/19/22,U.S. Open,"Crocker, Sean",23610,CUT,1,The Country Club,654,70,10,12:30 PM,83,-2.8,-2.5,-4.23,-0.7,-7.43,-10.231,278.7,0.5,,,,,,
pga,2017,2017,7/23/17,The Open Championship,"Li, Haotong",15310,3,4,Royal Birkdale GC,541,70,1,11:25 AM,63,,,,,,7.13,,,,,,,,
pga,2017,2017,8/13/17,PGA Championship,"Matsuyama, Hideki",13562,T5,2,Quail Hollow-PGA Championship,241,71,1,12:55 PM,64,4.569,1.485,2.645,0.901,5.032,9.601,295.3,0.643,0.667,0.889,67.081,31.702,6,1
pga,2017,2017,8/13/17,PGA Championship,"Molinari, Francesco",7655,T2,2,Quail Hollow-PGA Championship,241,71,10,1:10 PM,64,3.801,2.312,1.815,1.672,5.8,9.601,294.2,0.857,0.722,0.875,,30.438,7,0
pga,2020,2020,3/15/20,THE PLAYERS Championship,"Kim, Si Woo",14609,T2,1,TPC Sawgrass,11,72,10,2:02 PM,65,1.992,0.87,2.7,0.742,4.313,6.301,,,,,,,,
pga,2020,2020,3/15/20,THE PLAYERS Championship,"English, Harris",14577,T2,1,TPC Sawgrass,11,72,10,9:30 AM,65,2.652,0.908,2.152,0.592,3.653,6.301,,,,,,,,
pga,2020,2020,3/15/20,THE PLAYERS Championship,"Bezuidenhout, Christiaan",18103,T2,1,TPC Sawgrass,11,72,1,9:41 AM,65,2.637,2.019,2.324,-0.676,3.668,6.301,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Johnson, Dustin",12422,1,3,Augusta National Golf Club,14,72,1,11:48 AM,65,,,,,,6.767,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Johnson, Dustin",12422,1,1,Augusta National Golf Club,14,72,1,3:10 PM,65,,,,,,6.413,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Frittelli, Dylan",11955,T5,1,Augusta National Golf Club,14,72,10,3:10 PM,65,,,,,,6.413,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Conners, Corey",17576,T10,2,Augusta National Golf Club,14,72,10,1:35 PM,65,,,,,,6.811,,,,,,,,
pga,2020,2021,11/15/20,Masters Tournament,"Casey, Paul",7108,T38,1,Augusta National Golf Club,14,72,10,10:44 AM,65,,,,,,6.413,,,,,,,,
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Kirk, Chris",12423,T48,2,TPC Sawgrass,11,72,10,8:46 AM,65,-0.725,2.028,3.68,2.056,7.764,7.039,284.6,0.857,0.778,0.833,,32.272,6,5
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Garcia, Sergio",5689,T9,1,TPC Sawgrass,11,72,10,7:40 AM,65,3.739,-0.253,3.772,1.548,5.066,8.805,288,0.714,0.833,0.75,22.389,28.011,8,1
pga,2021,2021,3/14/21,THE PLAYERS Championship,"Smith, Cameron",15856,T17,3,TPC Sawgrass,11,72,1,8:35 AM,65,2.12,1.565,2.743,-0.343,3.965,6.085,289.4,0.643,0.778,0.714,37.844,33.336,6,2
pga,2021,2021,4/11/21,Masters Tournament,"Matsuyama, Hideki",13562,1,3,Augusta National Golf Club,14,72,1,1:30 PM,65,1.796,1.318,5.635,-1.322,5.63,7.426,298.5,0.357,0.667,0.714,50.73,10.42,7,3
pga,2021,2021,4/11/21,Masters Tournament,"Rose, Justin",6093,7,1,Augusta National Golf Club,14,72,1,12:48 PM,65,4.885,-0.254,4.007,0.886,4.638,9.523,291.5,0.786,0.722,0.714,62.174,43.89,8,3
pga,2021,2021,5/23/21,PGA Championship,"Ancer, Abraham",18238,T8,4,Ocean Course at Kiawah Island,697,72,1,8:50 AM,65,2.019,1.183,2.518,1.946,5.648,7.667,294.8,1,0.722,1,,30.497,6,1
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Stallings, Scott",12359,T42,3,TPC Sawgrass,11,72,10,5:05 PM,65,2.906,3.083,1.135,-0.667,3.551,6.457,274,0.643,0.611,1,30.267,28.129,6,2
pga,2022,2022,3/13/22,THE PLAYERS Championship,"Munoz, Sebastian",20770,T33,3,TPC Sawgrass,11,72,10,3:37 PM,65,2.585,0.372,1.711,1.789,3.872,6.457,279.1,0.857,0.833,1,32.514,28.16,4,2
pga,2022,2022,5/22/22,PGA Championship,"Watson, Bubba",7334,T30,2,Southern Hills Country Club,611,70,1,1:47 PM,63,0.621,2.476,4.144,2.361,8.982,9.603,318.1,0.929,0.722,0.667,,24.11,11,1
pga,2022,2022,7/17/22,The Open Championship,"Kisner, Kevin",11328,T21,3,St. Andrews Links (Old Course),668,72,1,8:45 AM,65,2.851,1.944,1.292,0.251,3.487,6.337,293.6,0.75,0.778,0.571,56.869,37.464,7,2
pga,2022,2022,7/17/22,The Open Championship,"Young, Cameron",26651,2,4,St. Andrews Links (Old Course),668,72,1,2:40 PM,65,2.216,-0.066,0.931,1.593,2.459,4.675,325.8,0.812,0.944,0.5,36.355,36.298,6,3
pga,2022,2022,7/17/22,The Open Championship,"Ancer, Abraham",18238,T11,4,St. Andrews Links (Old Course),668,72,1,10:50 AM,65,1.04,0.217,1.398,2.019,3.635,4.675,319.1,0.75,1,0.333,28.374,20.326,9,2
pga,2022,2022,7/17/22,The Open Championship,"Kaewkanjana, Sadom",19844,T11,4,St. Andrews Links (Old Course),668,72,1,10:50 AM,65,4.698,0.274,-0.395,0.099,-0.023,4.675,302.6,0.625,0.833,0.833,47.671,37.524,7,2
pga,2022,2022,7/17/22,The Open Championship,"Scott, Adam",6430,T15,2,St. Andrews Links (Old Course),668,72,1,8:14 AM,65,4.091,0.558,0.802,1.273,2.633,6.724,304,0.625,0.944,1,47.025,32.281,6,0
pga,2023,2023,3/12/23,THE PLAYERS Championship,"Rai, Aaron",18554,T19,3,TPC Sawgrass,11,72,1,11:25 AM,65,1.565,-0.483,2.065,1.427,3.008,4.573,277.1,0.857,0.722,0.857,,29.904,7,3
